district,leg_assembly,polling_station_name,file_name
3 - AIZAWL,7 - Tuivawl(ST),7/27 E. Phaileng,mizoram_pdfs/AC007PART027.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/28 Pehlawn,mizoram_pdfs/AC007PART028.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/Summary,mizoram_pdfs/AC007.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/1 N. Khawlek,mizoram_pdfs/AC008PART001.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/2 Daido,mizoram_pdfs/AC008PART002.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/3 Vanbawng,mizoram_pdfs/AC008PART003.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/4 N.E. Tlangnuam,mizoram_pdfs/AC008PART004.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/5 Lamherh,mizoram_pdfs/AC008PART005.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/6 Khawlian - I,mizoram_pdfs/AC008PART006.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/7 Khawlian - II,mizoram_pdfs/AC008PART007.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/8 Suangpuilawn - I,mizoram_pdfs/AC008PART008.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/9 Suangpuilawn - II,mizoram_pdfs/AC008PART009.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/10 Phuaibuang - I,mizoram_pdfs/AC008PART010.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/11 Phuaibuang - II,mizoram_pdfs/AC008PART011.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/12 Zawngin,mizoram_pdfs/AC008PART012.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/13 Khawruhlian - I,mizoram_pdfs/AC008PART013.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/14 Khawruhlian - II,mizoram_pdfs/AC008PART014.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/15 Hmunnghak,mizoram_pdfs/AC008PART015.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/16 Khanpui,mizoram_pdfs/AC008PART016.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/17 Luangpawn,mizoram_pdfs/AC008PART017.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/18 Phullen - I,mizoram_pdfs/AC008PART018.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/19 Phullen - II,mizoram_pdfs/AC008PART019.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/20 Lailak,mizoram_pdfs/AC008PART020.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/21 Buhban,mizoram_pdfs/AC008PART021.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/22 Thanglailung,mizoram_pdfs/AC008PART022.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/23 C.T.I.,mizoram_pdfs/AC008PART023.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/24 Sesawng - I,mizoram_pdfs/AC008PART024.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/25 Sesawng - II,mizoram_pdfs/AC008PART025.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/26 N. Lungpher,mizoram_pdfs/AC008PART026.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/27 Tualbung,mizoram_pdfs/AC008PART027.pdf
3 - AIZAWL,8 - Chalfilh(ST),8/28 Dilkhan,mizoram_pdfs/AC008PART028.pdf
